"acl","2.2.51","GPLv2+","http://acl.bestbits.at/"
"audit-libs","2.8.5","LGPLv2+","http://people.redhat.com/sgrubb/audit/"
"basesystem","10.0","Public Domain","(none)"
"bash","4.2.46","GPLv3+","http://www.gnu.org/software/bash"
"bind-license","9.11.4","MPLv2.0","http://www.isc.org/products/BIND/"
"binutils","2.27","GPLv3+","http://sources.redhat.com/binutils"
"bzip2-libs","1.0.6","BSD","http://www.bzip.org/"
"ca-certificates","2018.2.22","Public Domain","http://www.mozilla.org/"
"centos-release","7","GPLv2","(none)"
"chkconfig","1.7.4","GPLv2","https://github.com/fedora-sysv/chkconfig"
"coreutils","8.22","GPLv3+","http://www.gnu.org/software/coreutils/"
"cpio","2.11","GPLv3+","http://www.gnu.org/software/cpio/"
"cracklib","2.9.0","LGPLv2+","http://sourceforge.net/projects/cracklib/"
"cracklib-dicts","2.9.0","LGPLv2+","http://sourceforge.net/projects/cracklib/"
"cryptsetup-libs","2.0.3","GPLv2+ and LGPLv2+","https://gitlab.com/cryptsetup/cryptsetup"
"curl","7.29.0","MIT","http://curl.haxx.se/"
"cyrus-sasl-lib","2.1.26","BSD with advertising","http://asg.web.cmu.edu/sasl/sasl-library.html"
"dbus","1.10.24","(GPLv2+ or AFL) and GPLv2+","http://www.freedesktop.org/Software/dbus/"
"dbus-glib","0.100","AFL and GPLv2+","http://www.freedesktop.org/software/dbus/"
"dbus-libs","1.10.24","(GPLv2+ or AFL) and GPLv2+","http://www.freedesktop.org/Software/dbus/"
"dbus-python","1.1.1","MIT","http://www.freedesktop.org/software/dbus-python"
"device-mapper","1.02.158","GPLv2","http://sources.redhat.com/dm"
"device-mapper-libs","1.02.158","LGPLv2","http://sources.redhat.com/lvm2"
"diffutils","3.3","GPLv3+","http://www.gnu.org/software/diffutils/diffutils.html"
"dracut","033","GPLv2+ and LGPLv2+","https://dracut.wiki.kernel.org/"
"elfutils-default-yama-scope","0.176","GPLv2+ or LGPLv3+","http://elfutils.org/"
"elfutils-libelf","0.176","GPLv2+ or LGPLv3+","http://elfutils.org/"
"elfutils-libs","0.176","GPLv2+ or LGPLv3+","http://elfutils.org/"
"expat","2.1.0","MIT","http://www.libexpat.org/"
"file-libs","5.11","BSD","http://www.darwinsys.com/file/"
"filesystem","3.2","Public Domain","https://pagure.io/filesystem"
"findutils","4.5.11","GPLv3+","http://www.gnu.org/software/findutils/"
"gawk","4.0.2","GPLv3+ and GPL and LGPLv3+ and LGPL and BSD","http://www.gnu.org/software/gawk/gawk.html"
"gdbm","1.10","GPLv3+","http://www.gnu.org/software/gdbm/"
"geoipupdate","2.5.0","GPLv2","http://dev.maxmind.com/geoip/geoipupdate/"
"glib2","2.56.1","LGPLv2+","http://www.gtk.org"
"glibc","2.17","LGPLv2+ and LGPLv2+ with exceptions and GPLv2+","http://www.gnu.org/software/glibc/"
"glibc-common","2.17","LGPLv2+ and LGPLv2+ with exceptions and GPLv2+","http://www.gnu.org/software/glibc/"
"gmp","6.0.0","LGPLv3+ or GPLv2+","http://gmplib.org/"
"gnupg2","2.0.22","GPLv3+","http://www.gnupg.org/"
"gobject-introspection","1.56.1","GPLv2+, LGPLv2+, MIT","https://wiki.gnome.org/Projects/GObjectIntrospection"
"gpgme","1.3.2","LGPLv2+","http://www.gnupg.org/related_software/gpgme/"
"grep","2.20","GPLv3+","http://www.gnu.org/software/grep/"
"gzip","1.5","GPLv3+ and GFDL","http://www.gzip.org/"
"hardlink","1.0","GPL+","http://pkgs.fedoraproject.org/gitweb/?p=hardlink.git"
"hostname","3.13","GPLv2+","http://packages.qa.debian.org/h/hostname.html"
"info","5.1","GPLv3+","http://www.gnu.org/software/texinfo/"
"iputils","20160308","BSD and GPLv2+","https://github.com/iputils/iputils"
"json-c","0.11","MIT","https://github.com/json-c/json-c/wiki"
"keyutils-libs","1.5.8","GPLv2+ and LGPLv2+","http://people.redhat.com/~dhowells/keyutils/"
"kmod","20","GPLv2+","http://git.kernel.org/?p=utils/kernel/kmod/kmod.git;a=summary"
"kmod-libs","20","LGPLv2+","http://git.kernel.org/?p=utils/kernel/kmod/kmod.git;a=summary"
"kpartx","0.4.9","GPL+","http://christophe.varoqui.free.fr/"
"krb5-libs","1.15.1","MIT","http://web.mit.edu/kerberos/www/"
"libacl","2.2.51","LGPLv2+","http://acl.bestbits.at/"
"libassuan","2.1.0","LGPLv2+ and GPLv3+","http://www.gnupg.org/"
"libattr","2.4.46","LGPLv2+","http://acl.bestbits.at/"
"libblkid","2.23.2","LGPLv2+","http://en.wikipedia.org/wiki/Util-linux"
"libcap","2.22","LGPLv2+","http://ftp.kernel.org/pub/linux/libs/security/linux-privs/kernel-2.6/"
"libcap-ng","0.7.5","LGPLv2+","http://people.redhat.com/sgrubb/libcap-ng"
"libcom_err","1.42.9","MIT","http://e2fsprogs.sourceforge.net/"
"libcurl","7.29.0","MIT","http://curl.haxx.se/"
"libdb","5.3.21","BSD and LGPLv2 and Sleepycat","http://www.oracle.com/database/berkeley-db/"
"libdb-utils","5.3.21","BSD and LGPLv2 and Sleepycat","http://www.oracle.com/database/berkeley-db/"
"libffi","3.0.13","MIT and Public Domain","http://sourceware.org/libffi"
"libgcc","4.8.5","GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD","http://gcc.gnu.org"
"libgcrypt","1.5.3","LGPLv2+","http://www.gnupg.org/"
"libgpg-error","1.12","LGPLv2+","ftp://ftp.gnupg.org/gcrypt/libgpg-error/"
"libidn","1.28","LGPLv2+ and GPLv3+ and GFDL","http://www.gnu.org/software/libidn/"
"libmount","2.23.2","LGPLv2+","http://en.wikipedia.org/wiki/Util-linux"
"libpwquality","1.2.3","BSD or GPLv2+","https://github.com/libpwquality/libpwquality/"
"libselinux","2.5","Public Domain","https://github.com/SELinuxProject/selinux/wiki"
"libsemanage","2.5","LGPLv2+","https://github.com/SELinuxProject/selinux/wiki"
"libsepol","2.5","LGPLv2+","https://github.com/SELinuxProject/selinux/wiki"
"libsmartcols","2.23.2","LGPLv2+","http://en.wikipedia.org/wiki/Util-linux"
"libssh2","1.8.0","BSD","http://www.libssh2.org/"
"libstdc++","4.8.5","GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD","http://gcc.gnu.org"
"libtasn1","4.10","GPLv3+ and LGPLv2+","http://www.gnu.org/software/libtasn1/"
"libuser","0.60","LGPLv2+","https://fedorahosted.org/libuser/"
"libutempter","1.1.6","LGPLv2+","ftp://ftp.altlinux.org/pub/people/ldv/utempter"
"libuuid","2.23.2","BSD","http://en.wikipedia.org/wiki/Util-linux"
"libverto","0.2.5","MIT","https://fedorahosted.org/libverto/"
"libxml2","2.9.1","MIT","http://xmlsoft.org/"
"libxml2-python","2.9.1","MIT","http://xmlsoft.org/"
"lua","5.1.4","MIT","http://www.lua.org/"
"lz4","1.7.5","GPLv2+ and BSD","https://lz4.github.io/lz4/"
"ncurses","5.9","MIT","http://invisible-island.net/ncurses/ncurses.html"
"ncurses-base","5.9","MIT","http://invisible-island.net/ncurses/ncurses.html"
"ncurses-libs","5.9","MIT","http://invisible-island.net/ncurses/ncurses.html"
"nspr","4.21.0","MPLv2.0","http://www.mozilla.org/projects/nspr/"
"nss","3.44.0","MPLv2.0","http://www.mozilla.org/projects/security/pki/nss/"
"nss-pem","1.0.3","MPLv1.1","https://github.com/kdudka/nss-pem"
"nss-softokn","3.44.0","MPLv2.0","http://www.mozilla.org/projects/security/pki/nss/"
"nss-softokn-freebl","3.44.0","MPLv2.0","http://www.mozilla.org/projects/security/pki/nss/"
"nss-sysinit","3.44.0","MPLv2.0","http://www.mozilla.org/projects/security/pki/nss/"
"nss-tools","3.44.0","MPLv2.0","http://www.mozilla.org/projects/security/pki/nss/"
"nss-util","3.44.0","MPLv2.0","http://www.mozilla.org/projects/security/pki/nss/"
"openldap","2.4.44","OpenLDAP","http://www.openldap.org/"
